Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
5,1,3,1,394582,394.5822,0.0001831055,12,3,162,0,D,,D
5,1,3,2,396.5932,399.4822,2.889038,3,15,144,1,C,,DC
5,1,3,3,401.4931,404.5487,3.055634,15,6,162,1,D,,DCD
5,1,3,4,406.5594,409315,2.755554,6,18,144,1,C,,DCDC
5,1,3,5,411.3268,415593,4.266174,18,3,-90,1,C,,DCDCC
5,1,3,6,417.6044,419.2982,1.693756,3,18,90,2,D,,DCDCCD
5,1,3,7,421.3047,422615,1.310333,18,12,108,2,D,DCCDCCC,DCDCCDD
5,2,3,1,446805,449.2149,2.409912,12,5,126,1,B,,B
5,2,3,2,451.2262,454.7926,3.566437,5,10,-90,1,B,,BB
5,2,3,3,456.8039,460.4925,3.688599,10,3,126,1,B,,BBB
5,2,3,4,462.5039,465.8594,3.355469,3,8,-90.00001,2,D,,BBBD
5,2,3,5,467.8704,470.9487,3.078369,8,2,108,1,C,,BBBDC
5,2,3,6,472.9597,475.0374,2.077667,2,8,-108,1,D,,BBBDCD
5,2,3,7,477.0485,478.6703,1.621826,8,1,126,1,B,BBBDCDB,BBBDCDB
5,3,3,1,488.4151,489.9042,1.489136,1,6,-90,1,B,,B
5,3,3,2,491.9278,493.9147,1.986908,6,13,-126,1,C,,BC
5,3,3,3,495.9259,498.0111,2.085175,13,0,-126,1,B,,BCB
5,3,3,4,500.0151,501.9043,1.88913,0,14,108,1,B,,BCBB
5,3,3,5,503.9081,505.8704,1.962341,14,3,-162,1,D,,BCBBD
5,3,3,6,507.8816,510.9594,3.077789,3,11,-144,1,C,,BCBBDC
5,3,3,7,512.9704,517.3818,4.411377,11,6,90.00001,1,A,BCBCDBA,BCBBDCA
5,4,3,1,549.4153,551.0599,1.644653,6,16,179.9802,1,D,,D
5,4,3,2,553.0706,554.4263,1.355713,16,10,108,1,C,,DC
5,4,3,3,556.4368,558.6259,2.189087,10,2,144,1,C,,DCC
5,4,3,4,560.6372,562.7595,2.122253,2,9,-126,1,C,,DCCC
5,4,3,5,564.7704,566.7924,2.021912,9,17,-144,2,B,,DCCCB
5,4,3,6,568.8035,574.2419,5.438416,17,10,126,1,B,,DCCCBB
5,4,3,7,576.2481,579.9872,3.739075,10,18,-144,1,A,DCCCBDA,DCCCBBA
5,5,3,1,597.1932,598.6817,1.488525,18,13,90.00001,1,A,,A
5,5,3,2,600.6927,603.6425,2.949707,13,8,89.99998,1,B,,AB
5,5,3,3,605.6482,607.8348,2.186646,8,13,-89.99998,1,A,,ABA
5,5,3,4,609.8421,612.0316,2.189514,13,1,-144,2,B,,ABAB
5,5,3,5,614.0377,616.0715,2.033813,1,10,-162,1,C,,ABABC
5,5,3,6,618.0876,621793,3.705383,10,3,126,2,C,,ABABCC
5,5,3,7,623.8039,626.1833,2.379395,3,11,-144,1,B,ABABCCA,ABABCCB
5,6,3,1,642.0488,643.5598,1.510986,11,6,90.00001,2,A,,A
5,6,3,2,645.5706,647.8377,2.26709,6,11,-90.00001,1,B,,AB
5,6,3,3,649.8484,652798,2.949585,11,0,-162,1,C,,ABC
5,6,3,4,654.8043,659915,5.110718,0,13,126,2,D,,ABCD
5,6,3,5,661.9262,663.1038,1.177612,13,8,89.99998,2,D,,ABCDD
5,6,3,6,665.1149,666.3309,1.216003,8,0,144,1,B,,ABCDDB
5,6,3,7,668.3374,671.6049,3.267456,0,8,-144,2,A,ABCDDBA,ABCDDBA
5,7,3,1,683.8152,687.0198,3.204651,8,16,-144,2,C,,C
5,7,3,2,689.0255,691.7924,2.766846,16,7,162,1,D,,CD
5,7,3,3,693.8041,696.6042,2.80011,7,18,162,1,B,,CDB
5,7,3,4,698.6155,702.3928,3.777222,18,4,-108,1,A,,CDBA
5,7,3,5,704.4047,706.9373,2.532593,4,18,108,1,C,,CDBAC
5,7,3,6,708.9489,711.4041,2.4552,18,3,-90,2,C,,CDBACC
5,7,3,7,713.4151,715.2596,1.844482,3,17,108,1,B,CDBACCB,CDBACCB
5,8,3,1,730.3263,732.4153,2.088989,17,3,-108,1,B,,B
5,8,3,2,734.4274,736.8369,2.409485,3,15,144,1,A,,BA
5,8,3,3,738.8486,741.4925,2.643921,15,1,-108,2,D,,BAD
5,8,3,4,743.5037,746.6262,3.122437,1,12,162,1,B,,BADB
5,8,3,5,748.6372,750.0817,1.444519,12,17,-90.00002,2,A,,BADBA
5,8,3,6,752.0928,753.0596,0.9668579,17,3,-108,1,A,,BADBAA
5,8,3,7,755.0707,757.9037,2.832947,3,18,90,2,B,BADBAAB,BADBAAB
5,9,3,1,768.7708,770.6599,1.889099,18,4,-108,1,B,,B
5,9,3,2,772.6707,775.2045,2.533813,4,18,108,2,D,,BD
5,9,3,3,777.2158,778.1042,0.8883667,18,13,90.00001,1,D,,BDD
5,9,3,4,780.1152,782.8381,2.722961,13,18,-90.00001,3,C,,BDDC
5,9,3,5,784.8557,787.1041,2.248413,18,7,-162,1,D,,BDDCD
5,9,3,6,789.1154,793.0937,3.978333,7,18,162,2,C,,BDDCDC
5,9,3,7,795.1049,795.9487,0.84375,18,13,90.00001,1,D,BBCDCCB,BDDCDCD
5,10,3,1,811.7041,814.0264,2.322266,13,6,126,1,D,,D
5,10,3,2,816.0374,818.2598,2.222351,6,12,-108,2,B,,DB
