Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
11,1,3,1,246.6237,247.7473,1.123642,12,2,-179.9802,1,A,,A
11,1,3,2,249.7573,251.1452,1.387909,2,13,162,1,B,,AB
11,1,3,3,253.1626,254.8791,1.716553,13,3,180,1,A,,ABA
11,1,3,4,256.8953,261.2734,4.378082,3,12,-162,2,C,,ABAC
11,1,3,5,263.279,267.0349,3.755829,12,17,-90.00002,2,A,,ABACA
11,1,3,6,269.0452,270.3123,1.267181,17,2,-89.99998,1,D,,ABACAD
11,1,3,7,272.3235,274.6505,2.327026,2,10,-144,1,D,ABACADD,ABACADD
11,2,3,1,287.6793,288.9897,1.310455,10,18,-144,1,C,,C
11,2,3,2,291.0007,293.0565,2.055817,18,12,108,1,D,,CD
11,2,3,3,295.0678,297.3679,2.30011,12,4,144,2,D,,CDD
11,2,3,4,299.3787,300.8898,1.511047,4,17,126,1,B,,CDDB
11,2,3,5,302.9006,305.9563,3.055695,17,5,-144,1,A,,CDDBA
11,2,3,6,307.9677,308.9786,1.010895,5,11,-108,1,B,,CDDBAB
11,2,3,7,310.9898,315.4232,4.433411,11,3,144,1,D,CDDBACD,CDDBABD
11,3,3,1,336.2456,337.168,0.9223938,3,15,144,1,B,,B
11,3,3,2,339.1841,341.5236,2.339417,15,5,-180,1,D,,BD
11,3,3,3,343.5399,345.9452,2.405273,5,15,180,1,C,,BDC
11,3,3,4,347.9567,349.5563,1.59967,15,6,162,2,D,,BDCD
11,3,3,5,351.5673,352.8789,1.311615,6,1,90,2,D,,BDCDD
11,3,3,6,354.8949,355.7347,0.8398132,1,18,53.99999,2,A,,BDCDDA
11,3,3,7,357.7455,361.6346,3.889069,18,5,-126,1,B,BCDDABC,BDCDDAB
11,4,3,1,372.2901,374.0235,1.733398,5,0,90,1,B,,B
11,4,3,2,376.035,378.4121,2.377136,0,12,144,1,C,,BC
11,4,3,3,380.4228,383.7053,3.282471,12,3,162,1,C,,BCC
11,4,3,4,385.7118,391.6789,5.967102,3,15,144,2,C,,BCCC
11,4,3,5,393.6898,394.912,1.222198,15,9,108,2,D,,BCCCD
11,4,3,6,396.9229,399.875,2.952118,9,18,-162,1,A,,BCCCDA
11,4,3,7,401.8791,403.7681,1.888977,18,8,180,1,C,BCCCDAC,BCCCDAC
11,5,3,1,413.2903,415.1241,1.833801,8,16,-144,1,B,,B
11,5,3,2,417.1346,418.134,0.9994202,16,1,-89.99998,1,B,,BB
11,5,3,3,420.1453,421.4954,1.350128,1,8,-126,1,A,,BBA
11,5,3,4,423.5013,426.5233,3.022003,8,14,-108,2,B,,BBAB
11,5,3,5,428.5349,429.9348,1.399811,14,2,-144,1,A,,BBABA
11,5,3,6,431.9452,434.29,2.344788,2,13,162,1,D,,BBABAD
11,5,3,7,436.3009,437.5172,1.216339,13,0,-126,1,A,BBABABD,BBABADA
11,6,3,1,454.5905,456.412,1.821533,0,12,144,1,C,,C
11,6,3,2,458.4229,461.3239,2.901001,12,0,-144,1,A,,CA
11,6,3,3,463.3347,465.2351,1.900421,0,8,-144,1,C,,CAC
11,6,3,4,467.2453,469.4682,2.2229,8,13,-89.99998,1,A,,CACA
11,6,3,5,471.4788,472.8455,1.366699,13,1,-144,1,A,,CACAA
11,6,3,6,474.8565,478.9352,4.078705,1,8,-126,1,A,,CACAAA
11,6,3,7,480.9456,482.6676,1.721985,8,18,-180,1,C,CACAAAC,CACAAAC
11,7,3,1,492.7903,496.317,3.526764,18,11,126,2,B,,B
11,7,3,2,498.3239,500.7456,2.421661,11,17,-108,1,D,,BD
11,7,3,3,502.7568,504.5013,1.744507,17,10,126,1,D,,BDD
11,7,3,4,506.5121,509.8238,3.311737,10,15,-90.00001,2,C,,BDDC
11,7,3,5,511.8352,513.3452,1.509979,15,5,-180,1,C,,BDDCC
