Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
1,1,1,1,274.5131,276601,2.087982,10,0,180,1,B,,B
1,1,1,2,278.6129,280.0875,1.474548,0,6,-108,1,D,,BD
1,1,1,3,282.0939,283.5058,1.411926,6,0,108,1,C,,BDC
1,1,1,4,285.5126,287.0012,1.488586,0,5,-90,1,D,,BDCD
1,1,1,5,289.0122,290.7564,1.744202,5,17,144,1,A,,BDCDA
1,1,1,6,292.7685,297.1348,4.366302,17,8,162,3,D,,BDCDAD
1,1,1,7,299.1456,301.0842,1.938568,8,1,126,1,D,BCDBDCC,BDCDADD
1,2,1,1,318.9575,320.7787,1.821167,1,14,126,1,A,,A
1,2,1,2,322.7895,324.4679,1.678345,14,8,108,1,A,,AA
1,2,1,3,326.4788,328.7009,2.222076,8,17,-162,2,B,,AAB
1,2,1,4,330.7122,332.2123,1.500061,17,11,108,1,B,,AABB
1,2,1,5,334223,335.9122,1.68924,11,0,-162,1,B,,AABBB
1,2,1,6,337928,338.5005,0.5725098,0,18,35.99998,1,B,,AABBBB
1,2,1,7,340.5123,341.8895,1.377197,18,5,-126,1,D,AABBBCD,AABBBBD
1,3,1,1,353.7454,355.5006,1.755188,5,16,162,1,C,,C
1,3,1,2,357512,359.0341,1.522186,16,4,-144,1,C,,CC
1,3,1,3,361.0451,362.2663,1.221222,4,10,-108,1,A,,CCA
1,3,1,4,364.2786,367971,3.692413,10,3,126,3,D,,CCAD
1,3,1,5,369.9791,371.4562,1.477142,3,18,90,1,C,,CCADC
1,3,1,6,373.4667,378.3008,4.834015,18,9,162,3,C,,CCADCC
1,3,1,7,380.3119,382.2904,1.978546,9,17,-144,1,D,CCADCCD,CCADCCD
1,4,1,1,396.1342,397.6833,1.549072,17,9,144,1,A,,A
1,4,1,2,399.69,401.1899,1.499908,9,17,-144,2,A,,AA
1,4,1,3,403.2007,404.8567,1.656006,17,6,-162,1,B,,AAB
1,4,1,4,406.8673,407.9505,1.083191,6,1,90,2,A,,AABA
1,4,1,5,409.9572,410.6896,0.7323914,1,18,53.99999,1,B,,AABAB
1,4,1,6,412.7003,413.8229,1.122559,18,4,-108,1,D,,AABABD
1,4,1,7,415834,416.8784,1.044373,4,9,-90,1,D,AACADBC,AABABDD
1,5,1,1,439.6454,440.8227,1.177307,9,3,108,1,A,,A
1,5,1,2,442.8339,444.1115,1.277557,3,13,-180,1,D,,AD
1,5,1,3,446.1225,447.6893,1.566803,13,1,-144,1,D,,ADD
1,5,1,4,449.7003,453.5893,3.889038,1,9,-144,3,D,,ADDD
1,5,1,5,455.6002,457.1559,1.555664,9,2,126,1,C,,ADDDC
1,5,1,6,459.1663,460.1785,1.012238,2,18,71.99999,1,B,,ADDDCB
1,5,1,7,462.1895,463.5447,1.355194,18,12,108,1,A,ADDDCBA,ADDDCBA
1,6,1,1,473.7121,474994,1.281891,12,1,-162,1,A,,A
1,6,1,2,477.0012,478845,1.84375,1,11,180,1,A,,AA
1,6,1,3,480856,482.3891,1.533051,11,5,108,1,A,,AAA
1,6,1,4,484.4001,485.2225,0.8223877,5,11,-108,1,A,,AAAA
1,6,1,5,487.2335,488.6224,1.388916,11,4,126,1,C,,AAAAC
1,6,1,6,490.6337,492.3,1.666321,4,18,108,1,C,,AAAACC
1,6,1,7,494.3113,497.3114,3.000092,18,13,90.00001,2,D,AAAACCB,AAAACCD
1,7,1,1,515102,516.5112,1.40918,13,1,-144,1,A,,A
1,7,1,2,518.5276,519.8335,1.305847,1,17,71.99998,2,D,,AD
1,7,1,3,521.8446,523.0605,1.215881,17,3,-108,2,C,,ADC
1,7,1,4,525.0675,526.6663,1.598755,3,14,162,1,A,,ADCA
1,7,1,5,528.6785,529.8334,1.154846,14,0,-108,1,C,,ADCAC
1,7,1,6,531.8444,534.2812,2.436768,0,10,-180,1,D,,ADCACD
1,7,1,7,536.2905,537.6224,1.331848,10,18,-144,1,A,ADCACAB,ADCACDA
1,8,1,1,554.2,555.7272,1.527283,18,13,90.00001,2,A,,A
1,8,1,2,557.7339,559.3065,1.572632,13,6,126,1,C,,AC
1,8,1,3,561.3121,562.2221,0.9100342,6,11,-90.00001,1,A,,ACA
1,8,1,4,564.2333,565.4,1.166626,11,18,-126,1,B,,ACAB
1,8,1,5,567.4111,570.8229,3.411743,18,7,-162,2,B,,ACABB
1,8,1,6,572.8335,575.2666,2.433105,7,16,-162,1,D,,ACABBD
1,8,1,7,577.2777,579.4221,2.144409,16,6,-179.9802,1,B,ACABBDB,ACABBDB
1,9,1,1,591.1335,592.8222,1.68866,6,16,179.9802,1,A,,A
1,9,1,2,594.8336,596.5444,1.710815,16,8,144,1,D,,AD
1,9,1,3,598.5557,600322,1.766296,8,2,108,1,D,,ADD
1,9,1,4,602.3333,603.4831,1.14978,2,18,71.99999,1,A,,ADDA
1,9,1,5,605.4895,607.6226,2.133057,18,9,162,1,D,,ADDAD
1,9,1,6,609.6335,611.7897,2.15625,9,1,144,1,D,,ADDADD
1,9,1,7,613.8005,614.8174,1.016907,1,6,-90,1,C,ADDADDC,ADDADDC
1,10,1,1,627.5447,629.2667,1.722046,6,14,-144,1,D,,D
1,10,1,2,631.2777,632.9999,1.722168,14,5,162,1,A,,DA
1,10,1,3,635011,636.5773,1.566345,5,14,-162,1,B,,DAB
1,10,1,4,638.5891,640.7333,2.144287,14,3,-162,1,C,,DABC
1,10,1,5,642.7443,645.0336,2.289307,3,12,-162,1,A,,DABCA
1,10,1,6,647.0443,648078,1.033691,12,6,108,1,A,,DABCAA
1,10,1,7,650.0891,653.2779,3.188782,6,1,90,2,D,DABCAAD,DABCAAD
1,1,3,1,888922,891.7662,2.844238,6,15,-162,2,D,,D
1,1,3,2,893.7775,894.7883,1.010803,15,7,144,1,A,,DA
1,1,3,3,896.7996,898.2106,1.411011,7,18,162,1,A,,DAA
1,1,3,4,900222,902244,2.021912,18,13,90.00001,2,B,,DAAB
1,1,3,5,904.2551,906.9713,2.716248,13,0,-126,1,D,,DAABD
1,1,3,6,908.9778,911066,2.088257,0,5,-90,2,C,,DAABDC
1,1,3,7,913.0772,914.2892,1.211975,5,10,-90,2,C,DAABBCC,DAABDCC
1,2,3,1,924.5338,926.9775,2.443665,10,2,144,1,A,,A
1,2,3,2,928.9879,931.1996,2.211792,2,12,179.9802,1,C,,AC
1,2,3,3,933.2106,934.3997,1.189087,12,7,90,1,B,,ACB
1,2,3,4,936.4107,938.5498,2.139099,7,2,90,1,A,,ACBA
1,2,3,5,940.5555,942.6442,2.088684,2,11,-162,1,B,,ACBAB
