Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
7,1,1,1,413.035,415.5185,2.483551,16,7,162,1,C,,C
7,1,1,2,417.5247,419.3456,1.820953,7,14,-126,1,A,,CA
7,1,1,3,421.3568,423.0237,1.666901,14,0,-108,1,D,,CAD
7,1,1,4,425.0348,426.6344,1.599609,0,6,-108,1,D,,CADD
7,1,1,5,428.6457,431.5013,2.85556,6,15,-162,1,C,,CADDC
7,1,1,6,433.5124,440.0799,6.567444,15,7,144,4,A,,CADDCA
7,1,1,7,442.0959,444.2798,2.18396,7,12,-90,1,D,CADDCAD,CADDCAD
7,2,1,1,459.48,461.5124,2.03244,12,5,126,1,C,,C
7,2,1,2,463.5237,465.9242,2.400543,5,14,-162,1,D,,CD
7,2,1,3,467.9351,470.2457,2.310669,14,5,162,1,B,,CDB
7,2,1,4,472.2569,474.5457,2.288849,5,17,144,1,B,,CDBB
7,2,1,5,476.557,478.9685,2.41156,17,10,126,1,C,,CDBBC
7,2,1,6,480.9847,483.3612,2.376465,10,18,-144,1,B,,CDBBCB
7,2,1,7,485.3684,489.1349,3.766449,18,10,144,2,A,CDBBCBA,CDBBCBA
7,3,1,1,502.5131,504.5682,2.055115,10,4,108,1,C,,C
7,3,1,2,506.5799,509.4576,2.877747,4,16,144,1,A,,CA
7,3,1,3,511.4695,512.9686,1.499115,16,1,-89.99998,1,C,,CAC
7,3,1,4,514.9798,517.4796,2.499756,1,13,144,1,A,,CACA
7,3,1,5,519.4906,522.0129,2.522339,13,2,-162,1,A,,CACAA
7,3,1,6,524.0243,525.8026,1.778259,2,7,-90,1,D,,CACAAD
7,3,1,7,527.8137,530.2463,2.432678,7,15,-144,1,D,CACAADD,CACAADD
7,4,1,1,538.1351,539.6583,1.523254,15,10,90.00001,1,D,,D
7,4,1,2,541.669,543.6802,2.011169,10,16,-108,1,D,,DD
7,4,1,3,545.6916,547.9909,2.299316,16,3,-126,1,A,,DDA
7,4,1,4,550.0021,551.8178,1.815735,3,16,126,1,A,,DDAA
7,4,1,5,553.824,556.4848,2.660767,16,7,162,1,B,,DDAAB
7,4,1,6,558.4911,560.9802,2.489075,7,16,-162,1,C,,DDAABC
7,4,1,7,562.9907,564.7684,1.777649,16,9,126,1,B,DDAABCB,DDAABCB
7,5,1,1,572.0798,573.8242,1.744385,9,14,-90,1,D,,D
7,5,1,2,575.8357,578.4907,2.654968,14,6,144,1,B,,DB
7,5,1,3,580.5023,582.3022,1.799988,6,1,90,1,D,,DBD
7,5,1,4,584.3184,586.0518,1.733459,1,16,89.99998,1,D,,DBDD
7,5,1,5,588.0579,589.9579,1.899963,16,11,90.00001,1,D,,DBDDD
7,5,1,6,591.9686,594.3128,2.344177,11,6,90.00001,1,A,,DBDDDA
7,5,1,7,596.324,599.1024,2.77832,6,15,-162,1,C,DBDDDAC,DBDDDAC
7,6,1,1,609.7132,611.5137,1.800537,15,10,90.00001,1,C,,C
7,6,1,2,613.5245,615.6685,2.143921,10,15,-90.00001,1,A,,CA
7,6,1,3,617.6802,619.7585,2.078308,15,1,-108,1,B,,CAB
7,6,1,4,621.7693,623.1246,1.355225,1,17,71.99998,1,B,,CABB
7,6,1,5,625.1356,627.9691,2.833557,17,8,162,1,B,,CABBB
7,6,1,6,629.9808,632.0962,2.115417,8,3,90.00001,1,B,,CABBBB
7,6,1,7,634.1022,637.825,3.722778,3,13,-180,1,A,CABBBBA,CABBBBA
7,7,1,1,652.6912,655.7405,3.049255,13,5,144,1,A,,A
7,7,1,2,657.7468,660.6023,2.85553,5,14,-162,1,B,,AB
7,7,1,3,662.6132,665.4684,2.855225,14,6,144,1,D,,ABD
7,7,1,4,667.4804,670.0032,2.522766,6,14,-144,1,D,,ABDD
7,7,1,5,672.0143,673.8923,1.87793,14,9,90,1,D,,ABDDD
7,7,1,6,675.9031,678.2807,2.377625,9,1,144,1,A,,ABDDDA
7,7,1,7,680.2962,682.2024,1.906189,1,16,89.99998,1,C,ABDDDAC,ABDDDAC
7,8,1,1,699.447,701.8578,2.410828,16,4,-144,1,D,,D
7,8,1,2,703.8694,705.8806,2.01123,4,18,108,1,B,,DB
7,8,1,3,707.8913,710.9363,3.044983,18,9,162,1,B,,DBB
7,8,1,4,712.947,714.9913,2.04425,9,4,90,1,A,,DBBA
7,8,1,5,717.0076,720.7913,3.783691,4,14,-180,1,D,,DBBAD
7,8,1,6,722.8025,724.5692,1.766724,14,0,-108,1,C,,DBBADC
7,8,1,7,726.5805,729.0081,2.427612,0,13,126,1,C,DBBADCC,DBBADCC
7,9,1,1,740.6805,743.7367,3.056152,13,3,180,1,D,,D
7,9,1,2,745.7479,747.8031,2.055237,3,17,108,1,A,,DA
7,9,1,3,749.814,752.6914,2.87738,17,6,-162,1,D,,DAD
7,9,1,4,754.7031,757.6683,2.965149,6,16,179.9802,1,C,,DADC
7,9,1,5,759.6805,761.236,1.555542,16,1,-89.99998,1,B,,DADCB
7,9,1,6,763.2473,766.7697,3.522339,1,10,-162,1,B,,DADCBB
7,9,1,7,768.7807,770.7246,1.943909,10,16,-108,1,B,DADCBBB,DADCBBB
7,10,1,1,778.2031,780.1851,1.982056,16,2,-108,1,D,,D
7,10,1,2,782.1918,784.7246,2.532837,2,13,162,1,D,,DD
