Participant_ID,Referencepoint_Distance,Obstacle_Distance,Correct_Answer
4,125,-20,True
4,125,15,True
4,125,5,True
4,125,-25,True
4,125,15,False
4,125,-15,True
4,125,-20,True
4,125,-10,True
4,125,-30,True
4,125,25,True
4,125,-5,True
4,125,-30,True
4,125,20,True
4,125,20,False
4,125,25,True
4,125,-15,False
4,125,10,True
4,125,-5,True
4,125,10,True
4,125,30,True
4,125,-25,True
4,125,-10,True
4,125,5,False
4,125,30,True
