Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
10,1,3,1,420.9802,422.8354,1.855164,6,12,-108,1,A,,A
10,1,3,2,424.8474,428.107,3.259521,12,2,-179.9802,1,A,,AA
10,1,3,3,430.1137,431.702,1.588318,2,14,144,1,A,,AAA
10,1,3,4,433.7137,436.1466,2.432922,14,5,162,1,D,,AAAD
10,1,3,5,438.1577,441.7812,3.623505,5,13,-144,1,B,,AAADB
10,1,3,6,443.792,445.0586,1.266602,13,18,-90.00001,1,C,,AAADBC
10,1,3,7,447.0692,449.8027,2.733551,18,10,144,1,B,AAADBCD,AAADBCB
10,2,3,1,470.8356,473.2354,2.39975,10,5,90,1,A,,A
10,2,3,2,475.2471,478.5472,3.30011,5,16,162,1,C,,AC
10,2,3,3,480.5584,481.6581,1.099731,16,1,-89.99998,1,D,,ACD
10,2,3,4,483.6693,484.7027,1.033447,1,15,108,1,C,,ACDC
10,2,3,5,486.7146,489.6927,2.978088,15,2,-126,1,C,,ACDCC
10,2,3,6,491.7031,493.9808,2.27771,2,16,108,1,D,,ACDCCD
10,2,3,7,495.9917,498.3135,2.321808,16,7,162,1,C,ACDCDAD,ACDCCDC
10,3,3,1,518.6141,521.3364,2.722229,7,16,-162,1,D,,D
10,3,3,2,523.3474,524.9583,1.610901,16,4,-144,1,A,,DA
10,3,3,3,526.9696,529.6702,2.700562,4,15,162,1,C,,DAC
10,3,3,4,531.6811,532.858,1.176941,15,7,144,1,A,,DACA
10,3,3,5,534.8692,538.226,3.356812,7,13,-108,1,D,,DACAD
10,3,3,6,540.2369,543.2036,2.966675,13,3,180,1,D,,DACADD
10,3,3,7,545.2149,546.2142,0.9992676,3,9,-108,1,B,DACDBCD,DACADDB
10,4,3,1,564.5587,566.7473,2.188599,9,1,144,1,C,,C
10,4,3,2,568.7582,572.3364,3.578186,1,13,144,1,D,,CD
10,4,3,3,574.3474,576.2809,1.933594,13,4,162,1,D,,CDD
10,4,3,4,578.2919,579.1589,0.8670654,4,9,-90,1,C,,CDDC
10,4,3,5,581.1701,582.67,1.499939,9,18,-162,1,B,,CDDCB
10,4,3,6,584.6809,586.4031,1.722168,18,6,-144,1,A,,CDDCBA
10,4,3,7,588.415,589.7154,1.300415,6,18,144,1,C,CDDCABC,CDDCBAC
10,5,3,1,603.9033,605.9255,2.022217,18,8,180,1,C,,C
10,5,3,2,607.9365,611.3918,3.455383,8,2,108,1,A,,CA
10,5,3,3,613.4033,616.4813,3.078003,2,7,-90,1,A,,CAA
10,5,3,4,618.4926,619.6144,1.121826,7,14,-126,1,B,,CAAB
10,5,3,5,621.6255,623.8806,2.255127,14,4,180,1,C,,CAABC
10,5,3,6,625.8925,627.6746,1.782104,4,12,-144,1,D,,CAABCD
10,5,3,7,629.6812,632.8041,3.122925,12,3,162,1,A,CAABCDA,CAABCDA
10,6,3,1,645.748,650.0261,4.278076,3,9,-108,1,C,,C
10,6,3,2,652.0369,653.1703,1.133423,9,17,-144,1,D,,CD
10,6,3,3,655.1818,657.7813,2.599487,17,11,108,1,A,,CDA
10,6,3,4,659.7925,660.8041,1.011658,11,6,90.00001,1,D,,CDAD
10,6,3,5,662.8149,664.9368,2.121887,6,16,179.9802,1,D,,CDADD
10,6,3,6,666.948,668.7261,1.778137,16,10,108,1,D,,CDADDD
10,6,3,7,670.7378,672.6032,1.865417,10,2,144,1,B,CDADDDB,CDADDDB
10,7,3,1,684.4926,685.382,0.8894653,2,9,-126,1,B,,B
10,7,3,2,687.3929,689.2818,1.888855,9,0,162,1,A,,BA
10,7,3,3,691.2927,694.1708,2.878113,0,12,144,1,C,,BAC
10,7,3,4,696.1813,698.9924,2.811096,12,17,-90.00002,1,D,,BACD
10,7,3,5,701.0042,704.0598,3.055664,17,4,-126,1,D,,BACDD
10,7,3,6,706.0706,707.4926,1.421997,4,13,-162,1,A,,BACDDA
10,7,3,7,709.504,711.5923,2.088379,13,4,162,1,D,BACDDDA,BACDDAD
10,8,3,1,723.7261,725.9821,2.25592,4,12,-144,1,C,,C
10,8,3,2,727.994,729.0369,1.042847,12,6,108,1,C,,CC
10,8,3,3,731.0485,732.4485,1.400085,6,0,108,1,A,,CCA
10,8,3,4,734.4594,735.9149,1.455505,0,11,162,1,D,,CCAD
10,8,3,5,737.9262,739.5164,1.590149,11,0,-162,1,A,,CCADA
10,8,3,6,741.5266,746.9711,5.444519,0,16,71.99998,1,B,,CCADAB
10,8,3,7,748.9832,751.0486,2.065369,16,7,162,1,D,CCADBBA,CCADABD
10,9,3,1,771.5039,773.4271,1.923218,7,18,162,1,C,,C
10,9,3,2,775.4379,776.4487,1.010803,18,12,108,1,B,,CB
10,9,3,3,778.4595,779.4039,0.944397,12,7,90,1,D,,CBD
10,9,3,4,781.4158,782.6594,1.243591,7,14,-126,1,B,,CBDB
10,9,3,5,784.6713,785.727,1.055725,14,0,-108,1,C,,CBDBC
10,9,3,6,787.7377,790.5601,2.822327,0,12,144,1,B,,CBDBCB
10,9,3,7,792.571,794.7383,2.167297,12,18,-108,1,C,CBDBCDB,CBDBCBC
10,10,3,1,809.0596,810.871,1.811401,18,10,144,1,C,,C
10,10,3,2,812.8821,815.3374,2.455261,10,3,126,1,D,,CD
10,10,3,3,817.3487,820.5266,3.177917,3,8,-90.00001,1,A,,CDA
10,10,3,4,822.5378,824.2599,1.722107,8,18,-180,1,C,,CDAC
10,10,3,5,826.2712,831.5267,5.255493,18,12,108,2,A,,CDACA
10,10,3,6,833.5377,834.9712,1.433472,12,5,126,2,B,,CDACAB
10,10,3,7,836.9822,839.705,2.722778,5,11,-108,1,C,CDACBCD,CDACABC
10,1,1,1,1083.706,1086.606,2.89978,17,9,144,1,A,,A
10,1,1,2,1088.617,1091.373,2.755615,9,1,144,1,C,,AC
10,1,1,3,1093.385,1095.206,1.820801,1,8,-126,1,D,,ACD
10,1,1,4,1097.218,1098.917,1.699829,8,3,90.00001,1,D,,ACDD
10,1,1,5,1100.929,1104.14,3.21167,3,14,162,1,C,,ACDDC
10,1,1,6,1106.151,1108.539,2.388672,14,2,-144,1,C,,ACDDCC
10,1,1,7,1110.551,1112.229,1.678101,2,8,-108,1,D,AACDCDD,ACDDCCD
10,2,1,1,1127.74,1129.996,2.256226,8,15,-126,1,B,,B
10,2,1,2,1132.006,1134.807,2.800049,15,5,-180,1,B,,BB
10,2,1,3,1136.818,1139.307,2.489624,5,15,180,1,D,,BBD
10,2,1,4,1141.318,1143.952,2.633911,15,4,-162,1,A,,BBDA
10,2,1,5,1145.963,1148.585,2.621948,4,12,-144,1,D,,BBDAD
10,2,1,6,1150.596,1152.551,1.955811,12,17,-90.00002,1,A,,BBDADA
10,2,1,7,1154.562,1156.407,1.845215,17,10,126,1,A,BBDADBD,BBDADAA
10,3,1,1,1175.085,1177.274,2.188965,10,18,-144,1,D,,D
10,3,1,2,1179.285,1181.129,1.84436,18,10,144,1,A,,DA
10,3,1,3,1183.14,1185.863,2.722412,10,1,162,1,B,,DAB
10,3,1,4,1187.874,1190.63,2.756226,1,13,144,1,B,,DABB
10,3,1,5,1192.641,1193.741,1.099976,13,18,-90.00001,1,A,,DABBA
