Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
8,1,2,1,325.6407,330.262,4.621246,10,1,162,1,B,,B
8,1,2,2,332.2736,334.9622,2.688568,1,6,-90,1,A,,BA
8,1,2,3,336.9733,340.5068,3.533508,6,14,-144,1,A,,BAA
8,1,2,4,342.518,346.3733,3.855225,14,3,-162,1,C,,BAAC
8,1,2,5,348.3845,350.0065,1.622009,3,18,90,1,B,,BAACB
8,1,2,6,352.0177,353.9958,1.978119,18,13,90.00001,1,C,,BAACBC
8,1,2,7,356.0069,358.2229,2.216034,13,18,-90.00001,1,C,BAACBCB,BAACBCC
8,2,2,1,370.8289,374.151,3.322113,18,8,180,1,D,,D
8,2,2,2,376.1623,378.3177,2.155365,8,3,90.00001,1,A,,DA
8,2,2,3,380.3286,383.3402,3.011627,3,11,-144,1,C,,DAC
8,2,2,4,385.3512,388.0623,2.711121,11,3,144,1,D,,DACD
8,2,2,5,390.0736,393.6189,3.545258,3,13,-180,1,D,,DACDD
8,2,2,6,395.6293,398.1284,2.499115,13,18,-90.00001,1,A,,DACDDA
8,2,2,7,400.1403,403.7512,3.610931,18,6,-144,1,D,DACDDAD,DACDDAD
8,3,2,1,413.507,415.6067,2.099731,6,1,90,1,C,,C
8,3,2,2,417.6227,419.751,2.128326,1,7,-108,1,C,,CC
8,3,2,3,421.7622,423.2846,1.5224,7,2,90,1,B,,CCB
8,3,2,4,425.2952,428.0514,2.756226,2,14,144,1,B,,CCBB
8,3,2,5,430.0721,432.151,2.078979,14,0,-108,1,D,,CCBBD
8,3,2,6,434.1623,435.3788,1.216522,0,17,53.99997,1,B,,CCBBDB
8,3,2,7,437.3855,440.6065,3.220978,17,2,-89.99998,1,B,CCBBDBD,CCBBDBB
8,4,2,1,453.3408,457.0959,3.755066,2,9,-126,1,B,,B
8,4,2,2,459.1071,461.8952,2.788177,9,15,-108,1,D,,BD
8,4,2,3,463.9067,468.5294,4.622742,15,4,-162,1,C,,BDC
8,4,2,4,470.5407,474.6291,4.088318,4,15,162,2,A,,BDCA
8,4,2,5,476.6402,480.885,4.244843,15,7,144,1,A,,BDCAA
8,4,2,6,482.896,485.285,2.388947,7,2,90,1,B,,BDCAAB
8,4,2,7,487.2957,489.4958,2.200104,2,17,89.99998,1,C,BDCAABC,BDCAABC
8,5,2,1,499.0298,502.4236,3.39386,17,9,144,1,A,,A
8,5,2,2,504.4305,507.0074,2.576813,9,17,-144,1,B,,AB
8,5,2,3,509.0187,512.9633,3.94458,17,6,-162,1,C,,ABC
8,5,2,4,514.9739,517.5126,2.538696,6,12,-108,1,C,,ABCC
8,5,2,5,519.519,522.0409,2.521912,12,18,-108,1,A,,ABCCA
8,5,2,6,524.0517,527.241,3.18927,18,8,180,1,A,,ABCCAA
8,5,2,7,529.252,532.3296,3.077576,8,14,-108,1,D,ABCCAAD,ABCCAAD
8,6,2,1,541.4303,544.6519,3.221558,14,2,-144,1,B,,B
8,6,2,2,546.663,549.8294,3.166382,2,11,-162,1,B,,BB
8,6,2,3,551.8409,554.6298,2.788818,11,2,162,1,D,,BBD
8,6,2,4,556.6409,558.0187,1.377808,2,18,71.99999,1,D,,BBDD
8,6,2,5,560.03,562.7073,2.677307,18,4,-108,1,C,,BBDDC
8,6,2,6,564.7186,568.485,3.766418,4,12,-144,1,B,,BBDDCB
8,6,2,7,570.4972,572.5854,2.088196,12,7,90,1,A,BBDDCBA,BBDDCBA
8,7,2,1,582.7857,584.7302,1.944458,7,2,90,1,B,,B
8,7,2,2,586.7411,590.1573,3.416138,2,12,179.9802,1,A,,BA
8,7,2,3,592.1637,594.1073,1.943604,12,7,90,1,D,,BAD
8,7,2,4,596.1191,601.5969,5.477844,7,15,-144,2,C,,BADC
8,7,2,5,603.6074,605.7125,2.105042,15,0,-89.99999,1,B,,BADCB
8,7,2,6,607.7191,608.7629,1.043762,0,18,35.99998,1,C,,BADCBC
8,7,2,7,610.7743,613.085,2.31073,18,12,108,1,A,BADCBCA,BADCBCA
8,8,2,1,622.0858,625.0015,2.915771,12,0,-144,1,A,,A
8,8,2,2,627.0084,629.202,2.193665,0,14,108,1,B,,AB
8,8,2,3,631.2084,634.7635,3.555115,14,4,180,1,D,,ABD
8,8,2,4,636.7745,639.7077,2.933167,4,16,144,1,C,,ABDC
8,8,2,5,641.7191,644.9409,3.221802,16,9,126,1,B,,ABDCB
8,8,2,6,646.9525,651.841,4.88855,9,2,126,2,D,,ABDCBD
8,8,2,7,653.8526,656.997,3.144409,2,13,162,1,D,ABDCBDD,ABDCBDD
8,9,2,1,665.5303,667.53,1.999695,13,18,-90.00001,1,A,,A
8,9,2,2,669.5411,671.4079,1.86676,18,3,-90,1,D,,AD
8,9,2,3,673.4191,674.6744,1.25531,3,18,90,1,D,,ADD
8,9,2,4,676.6849,678.6416,1.956726,18,12,108,1,A,,ADDA
8,9,2,5,680.6528,682.3304,1.677673,12,17,-90.00002,1,A,,ADDAA
8,9,2,6,684.3416,686.6022,2.26062,17,2,-89.99998,1,C,,ADDAAC
8,9,2,7,688.6086,694.0081,5.399475,2,12,179.9802,3,C,ADDAACC,ADDAACC
8,10,2,1,701.9307,704.1527,2.221985,12,18,-108,1,B,,B
8,10,2,2,706.1639,709.2858,3.121826,18,7,-162,1,B,,BB
8,10,2,3,711.2974,715.175,3.877686,7,17,180,1,C,,BBC
8,10,2,4,717.1855,719.0081,1.822571,17,12,90.00002,1,A,,BBCA
8,10,2,5,721.0198,724.0083,2.988525,12,5,126,1,C,,BBCAC
8,10,2,6,726.0196,729.6086,3.58905,5,10,-90,4,C,,BBCACC
8,10,2,7,731.6196,734.5849,2.965271,10,15,-90.00001,1,B,BBCACCB,BBCACCB
8,1,1,1,983.9325,985.7484,1.815918,16,11,90.00001,1,B,,B
8,1,1,2,987.7548,990.6428,2.888,11,4,126,3,C,,BC
8,1,1,3,992.6547,995.6761,3.021423,4,13,-162,1,B,,BCB
8,1,1,4,997.6926,999.9652,2.272583,13,7,108,1,D,,BCBD
8,1,1,5,1001.977,1004.31,2.333252,7,2,90,1,B,,BCBDB
8,1,1,6,1006.321,1008.332,2.010559,2,8,-108,1,D,,BCBDBD
8,1,1,7,1010.343,1013.065,2.722473,8,15,-126,1,C,BCABDBC,BCBDBDC
8,2,1,1,1045.911,1049.765,3.85437,15,4,-162,1,D,,D
8,2,1,2,1051.778,1055.125,3.34729,4,12,-144,1,D,,DD
8,2,1,3,1057.133,1060.066,2.933228,12,3,162,1,C,,DDC
