Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
12,1,1,1,279.2095,283.7094,4.499908,5,16,162,1,B,,B
12,1,1,2,285.7213,288.2874,2.566162,16,4,-144,1,A,,BA
12,1,1,3,290.2984,292.0204,1.721985,4,9,-90,1,B,,BAB
12,1,1,4,294.0308,296.4866,2.45575,9,2,126,1,D,,BABD
12,1,1,5,298.4982,301.0309,2.532654,2,7,-90,1,D,,BABDD
12,1,1,6,303.0425,305.5313,2.488739,7,14,-126,1,B,,BABDDB
12,1,1,7,307.5422,309.9088,2.366608,14,7,126,1,B,BABDDBD,BABDDBB
12,2,1,1,352.8431,358.7984,5.955322,7,18,162,1,A,,A
12,2,1,2,360.8095,363.4092,2.599701,18,13,90.00001,1,D,,AD
12,2,1,3,365.4205,368.5645,3.144043,13,5,144,1,A,,ADA
12,2,1,4,370.5753,372.7426,2.167267,5,12,-126,1,B,,ADAB
12,2,1,5,374.7536,376.2311,1.477448,12,6,108,1,B,,ADABB
12,2,1,6,378.2429,379.6914,1.448517,6,11,-90.00001,1,C,,ADABBC
12,2,1,7,381.6985,383.6542,1.955719,11,18,-126,1,D,ADAABCD,ADABBCD
12,3,1,1,397.7101,400.6815,2.971405,18,9,162,1,C,,C
12,3,1,2,402.6874,410.7314,8.044067,9,17,-144,4,A,,CA
12,3,1,3,412.7427,415.576,2.833313,17,9,144,1,B,,CAB
12,3,1,4,417.5872,420.3983,2.811035,9,1,144,1,C,,CABC
12,3,1,5,422.4094,424.465,2.055542,1,9,-144,1,B,,CABCB
12,3,1,6,426.4821,429.0316,2.549591,9,17,-144,1,C,,CABCBC
12,3,1,7,431.0428,432.6761,1.633331,17,12,90.00002,1,C,CABCBCC,CABCBCC
12,4,1,1,448.4766,450.0536,1.576996,12,18,-108,1,D,,D
12,4,1,2,452.0648,453.9317,1.866821,18,12,108,1,D,,DD
12,4,1,3,455.9428,457.3539,1.411102,12,7,90,1,B,,DDB
12,4,1,4,459.3651,461.7428,2.377777,7,17,180,1,C,,DDBC
12,4,1,5,463.7539,466.9545,3.200653,17,6,-162,1,B,,DDBCB
12,4,1,6,468.9655,472.0657,3.100189,6,18,144,1,B,,DDBCBB
